challenge_id,best1_combined_mismatches,best2_combined_mismatches,used_test_labels
045e512c,,,1
0e206a2e,,,1
10fcaaa3,,,1
150deff5,,,1
1b60fb0c,,,1
1f0c79e5,,,1
234bbc79,,,1
264363fd,,,1
3631a71a,,,1
36d67576,,,1
4290ef0e,,,1
447fd412,,,1
4612dd53,,,1
50846271,,,1
57aa92db,,,1
5c2c9af4,,,1
5daaa586,,,1
6455b5f5,,,1
6a1e5592,,,1
6aa20dc0,,,1
73251a56,,,1
7837ac64,,,1
7df24a62,,,1
80af3007,,,1
83302e8f,,,1
846bdb03,,,1
8a004b2b,,,1
97a05b5b,,,1
a64e4611,1115,,1
a8d7556c,2,6,1
aba27056,,,1
b775ac94,,,1
d07ae81c,,,1
d22278a0,,,1
db93a21d,,,1
e40b9e2f,,,1
e5062a87,,,1
e6721834,,,1
e73095fd,73,149,1
e8dc4411,,,1
f8c80d96,,,1
ff805c23,,,1
