challenge_id,best1_combined_mismatches,best2_combined_mismatches,used_test_labels
AboveBelow3,,,1
Center3,,,1
CleanUp4,,,1
CleanUp5,,,1
CleanUp7,,,1
CleanUp8,,,1
CompleteShape8,,,1
Copy7,,,1
Copy9,,,1
Count2,,,1
Count9,,,1
ExtendToBoundary9,,,1
ExtractObjects5,,,1
FilledNotFilled10,,,1
FilledNotFilled8,,,1
InsideOutside10,,,1
InsideOutside6,,,1
InsideOutside8,,,1
InsideOutside8_v2,,,1
InsideOutsideMinimal,,,1
MoveToBoundary2,,,1
MoveToBoundary8,,,1
Order3,,,1
Order5,,,1
Order7,,,1
SameDifferent1,,,1
SameDifferent2,,,1
SameDifferent3,,,1
SameDifferent4,,,1
SameDifferent6,,,1
SameDifferent7,,,1
SameDifferent8,,,1
SameDifferent9,,,1
SameDifferentMinimal,,,1
TopBottom2D10,,,1
TopBottom2D3,,,1
TopBottom2D4,,,1
TopBottom2D5,,,1
TopBottom2D6,,,1
TopBottom2D8,,,1
TopBottom2D9,,,1
TopBottom2DMinimal,,,1
TopBottom3D10,,,1
TopBottom3D2,,,1
TopBottom3D3,,,1
TopBottom3D4,,,1
TopBottom3D5,,,1
TopBottom3D6,,,1
TopBottom3D9,,,1
